980.714,1047.96,-6.05054
533,-0.31,18.29,-2.01
534,1.08,14.22,-1.36
535,1.69,20.81,0.19
536,-0.35,27.57,-1.99
537,0.61,19.43,-1.62
538,1.95,49.33,0.75
539,-1.84,30.17,-1.99
540,-0.42,45.08,2.51
541,1.66,42.74,1.64
542,-0.41,41.72,-2.03
543,0.72,21.81,-1.19
544,-0.29,13.96,1.67
545,-2.74,47.18,-2.02
546,0.94,12.74,-0.47
547,-0.04,4.48,-2.11
548,0.61,18.05,-0.56
549,-0.24,7.98,-2.25
550,0.26,10.63,-2.15
551,-0.3,82.41,-0.18
552,-0.24,12.86,-2.03
553,0.44,14.42,-1.87
554,-6.73,130.76,0.46
555,-0.25,18.28,-2.01
556,1.11,14.09,-1.35
557,-0.28,46.58,0.97
558,1.75,20.71,0.19
559,-0.26,27.56,-1.98
560,0.68,19.43,-1.62
561,-6.69,129.91,3.49
562,2.13,49.71,0.74
563,-1.74,30.15,-1.99
564,1.1,13.93,-0.84
565,-0.27,41.71,-2.03
566,0.79,21.82,-1.19
567,-0.25,14.81,1.78
568,0.84,22.88,1.81
569,-2.57,47.08,-2.02
570,-0.28,54.72,-1.39
571,-0.02,4.48,-2.11
572,0.67,18.03,-0.56
573,-0.21,7.98,-2.25
574,0.3,10.64,-2.15
575,-0.03,75.5,-0.16
576,1.56,18.06,-0.25
577,-0.2,12.85,-2.03
578,0.49,14.4,-1.86
579,-6.27,130.7,0.46
580,-0.18,18.26,-2
581,1.19,14.38,-1.38
582,-0.11,46.79,0.97
583,1.78,20.19,0.18
584,-0.16,27.56,-1.98
585,0.63,17.31,-1.45
586,2.31,49.73,0.74
587,-1.63,30.15,-1.99
588,1.13,13.79,-0.83
589,1.48,33.74,1.29
590,-0.13,41.71,-2.03
591,0.63,17.3,-0.94
592,-0.2,14.65,1.76
593,0.92,22.94,1.81
594,-2.41,47,-2.01
595,-0.2,14.66,3.89
596,0.58,16.1,2.9
597,0,4.48,-2.11
598,0.67,16.85,-0.52
599,-0.2,7.97,-2.25
600,0.33,10.63,-2.15
601,0.17,68.72,-0.15
602,1.6,17.76,-0.24
603,-0.16,12.84,-2.03
604,0.54,14.39,-1.86
605,-5.74,128.81,0.45
606,1.24,27.11,-0.21
607,-0.13,18.25,-2
608,1.22,14.14,-1.35
609,0.04,48.5,1.01
610,1.76,19.29,0.17
611,-0.08,26.9,-1.94
612,0.66,16.63,-1.39
613,1.23,27.04,0.4
614,-1.52,30.12,-1.99
615,1.18,13.79,-0.83
616,-0.16,14.17,0.78
617,1.6,33.73,1.29
618,-0.05,31.08,-1.51
619,0.66,16.68,-0.9
620,0.98,22.54,1.78
621,-2.24,46.94,-2.01
622,-0.16,14.52,3.85
623,-0.06,30.71,-0.77
624,0.01,4.48,-2.11
625,0.7,16.17,-0.5
626,-0.17,7.98,-2.25
627,0.37,10.62,-2.15
628,1.7,18.06,-0.25
629,-0.12,12.82,-2.02
630,0.58,14.29,-1.85
631,-5.26,128.72,0.45
632,-0.06,18.21,-2
633,1.27,14.15,-1.36
634,1.86,19.62,0.17
635,0,26.14,-1.87
636,0.69,16,-1.33
637,1.34,27.09,0.4
638,-1.41,30.08,-1.99
639,1.23,13.7,-0.83
640,-0.11,14.31,0.79
641,2.23,42.27,1.62
642,0.69,16.02,-0.87
643,-0.01,23.89,2.87
644,-2.06,46.86,-2.01
645,1.3,14.38,-0.53
646,-0.08,17.65,4.68
647,0.04,30.58,-0.77
648,0.03,4.47,-2.11
649,0.72,15.57,-0.48
650,-0.14,7.96,-2.25
651,0.41,10.62,-2.15
652,0.56,62.47,-0.13
653,1.74,17.87,-0.24
654,-0.07,12.81,-2.02
655,0.63,14.2,-1.84
656,-4.83,128.71,0.45
657,1.36,26.01,-0.2
658,0,18.23,-2
659,1.11,12.22,-1.16
660,0.34,45.53,0.94
661,1.92,19.51,0.17
662,0.71,15.41,-1.29
663,-4.73,125.82,3.38
664,-1.31,30.05,-1.98
665,1.27,13.68,-0.83
666,-0.03,16.82,0.94
667,1.81,33.32,1.28
668,0.71,15.46,-0.84
669,-1.9,46.8,-2
670,1.33,14.27,-0.53
671,-0.04,15.69,4.16
672,0.7,15.27,2.75
673,0.13,29.45,-0.74
674,0.04,4.48,-2.11
675,0.74,15.07,-0.47
676,-0.11,7.97,-2.25
677,0.44,10.62,-2.15
678,0.18,25.94,-0.05
679,1.83,18.15,-0.25
680,-0.03,12.8,-2.02
681,0.67,14.17,-1.84
682,-4.4,129.09,0.46
683,1.46,26.02,-0.2
684,0.05,18.23,-2
685,1.36,14.04,-1.35
686,0.5,45.39,0.94
687,0.15,24.74,-1.78
688,0.73,14.87,-1.24
689,-4.28,125.57,3.37
690,-1.2,30,-1.98
691,1.32,13.67,-0.83
692,-0.01,14.22,0.78
693,0.16,24.83,-1.2
694,0.73,14.92,-0.81
695,-0.01,14.6,1.75
696,1.39,25.19,2
697,-1.74,46.69,-2
698,1.38,14.2,-0.52
699,0.01,15.8,4.19
700,0.6,12.93,2.32
701,0.16,25.38,-0.64
702,0.06,4.47,-2.1
703,-2.94,93.98,-1.84
704,0.75,14.53,-0.45
705,-0.08,7.97,-2.25
706,0.48,10.62,-2.15
707,0.23,24.26,-0.05
708,1.48,14.7,-0.2
709,0.01,12.8,-2.02
710,0.72,14.08,-1.82
711,-3.96,129.44,0.46
712,1.55,26.03,-0.2
713,0.11,18.21,-2
714,1.42,14.14,-1.36
715,0.22,23.21,-1.67
716,0.74,14.38,-1.2
717,-1.62,48.18,1.29
718,1.55,26.04,0.39
719,-1.1,29.97,-1.98
720,1.4,13.95,-0.84
721,0.08,16.78,0.93
722,0.22,23.14,-1.12
723,0.74,14.43,-0.78
724,-1.58,46.61,-2
725,0.1,17.73,4.7
726,0.68,13.46,2.42
727,0.07,4.47,-2.11
728,0.76,14.04,-0.44
729,-0.06,7.97,-2.25
730,0.52,10.61,-2.15
731,0.28,22.75,-0.05
732,1.97,18.24,-0.25
733,0.05,12.79,-2.02
734,0.76,13.95,-1.81
735,-3.5,129.3,0.46
736,1.64,25.99,-0.2
737,0.18,18.17,-2
738,0.87,47.22,0.98
739,2.06,18.95,0.17
740,0.26,21.74,-1.56
741,0.75,13.88,-1.16
742,-1.42,46.64,1.24
743,1.64,26.05,0.39
744,-0.99,29.91,-1.97
745,1.19,11.84,-0.71
746,0.14,16.76,0.93
747,2.05,31.66,1.21
748,0.75,13.9,-0.76
749,2.06,31.91,2.53
750,-1.42,46.58,-1.99
751,1.19,11.85,-0.43
752,0.27,22.57,-0.57
753,0.09,4.47,-2.1
754,-2.25,92.8,-1.82
755,0.78,13.54,-0.42
756,-0.03,7.96,-2.25
757,0.55,10.6,-2.15
758,0.09,12.78,-2.02
759,0.78,13.52,-1.75
760,-3.05,129.32,0.46
761,1.21,19.23,-0.15
762,0.24,18.09,-1.99
763,1.52,14.16,-1.36
764,1.97,17.66,0.15
765,0.32,21.16,-1.52
766,0.77,13.45,-1.13
767,-1.29,48.53,1.3
768,1.73,26.06,0.39
769,2.19,32.1,1.23
770,0.77,13.47,-0.73
771,0.2,16.9,2.03
772,-1.25,46.44,-1.99
773,1.22,11.73,-0.43
774,0.8,13.81,2.48
775,0.53,28.97,-0.73
776,0.11,4.47,-2.11
777,-1.86,89,-1.74
778,0.81,13.31,-0.41
779,0,7.96,-2.25
780,0.59,10.61,-2.15
781,1.59,14.31,-0.19
782,0.14,12.78,-2.02
783,0.8,13.25,-1.72
784,-1.88,89.61,0.32
785,1.24,18.82,-0.14
786,0.28,17.42,-1.91
787,1.68,14.91,-1.43
788,1.11,44.47,0.93
789,2.03,17.63,0.15
790,0.39,21.03,-1.51
791,0.8,13.26,-1.11
792,1.82,26.06,0.39
793,-0.78,29.83,-1.97
794,1.73,24.93,0.95
795,0.43,22.31,-1.09
796,0.8,13.28,-0.72
797,0.18,14.41,1.73
798,-1.08,45.95,-1.97
799,0.95,15.13,2.72
800,0.12,4.47,-2.11
801,-1.56,88.79,-1.74
802,0.84,13.17,-0.41
803,0.02,7.96,-2.25
804,0.63,10.61,-2.15
805,0.66,27.11,-0.06
806,1.64,14.31,-0.19
807,0.18,12.77,-2.02
808,0.84,13.16,-1.71
809,-1.26,69.01,0.24
810,1.22,17.66,-0.14
811,0.32,16.87,-1.85
812,1.68,14.62,-1.4
813,1.26,44.48,0.93
814,2.35,19.7,0.18
815,0.47,21.27,-1.52
816,0.84,13.13,-1.1
817,-0.95,48.02,1.28
818,1.91,26.06,0.39
819,-0.68,29.78,-1.97
820,1.48,13.04,-0.79
821,1.28,45.27,2.52
822,0.5,22.32,-1.09
823,0.84,13.13,-0.72
824,0.22,14.03,1.68
825,0.96,14.62,1.15
826,-0.92,45.8,-1.96
827,0.27,15.29,4.06
828,0.73,28.94,-0.73
829,0.14,4.46,-2.1
830,0.87,13,-0.41
831,0.04,7.96,-2.25
832,0.67,10.61,-2.15
833,2.08,62.52,-0.13
834,1.77,14.83,-0.2
835,0.23,12.77,-2.02
836,0.87,13.01,-1.69
837,1.36,18.6,-0.14
838,0.37,16.78,-1.84
839,1.69,14.28,-1.37
840,1.42,44.5,0.93
841,2.4,19.55,0.17
842,0.54,21.24,-1.52
843,1.31,17.99,-1.51
844,-0.78,47.75,1.28
845,2,26.06,0.39
846,1.52,13.04,-0.79
847,0.58,22.32,-1.09
848,1.35,18.48,-1.01
849,0.27,14.12,1.69
850,-0.76,45.7,-1.96
851,1.6,13.66,-0.51
852,0.35,16.21,4.31
853,0.9,13.39,2.41
854,0.43,18.14,-0.46
855,0.15,4.46,-2.11
856,-0.7,58.25,-1.13
857,0.91,12.9,-0.4
858,0.07,7.95,-2.24
859,0.7,10.6,-2.15
860,2.3,62.49,-0.13
861,0.27,12.76,-2.01
862,0.91,12.92,-1.68
863,-0.78,68.58,0.23
864,1.34,17.65,-0.14
865,0.43,16.76,-1.83
866,1.34,11.4,-1.09
867,0.62,21.24,-1.52
868,1.34,17.63,-1.48
869,-0.61,46.65,1.24
870,1.98,24.83,0.37
871,-0.47,29.75,-1.96
872,1.34,11.39,-0.69
873,1.08,32.61,1.82
874,2.09,26.05,1
875,0.66,22.31,-1.09
876,0.91,12.9,-0.7
877,1.19,16.06,1.27
878,-0.6,45.69,-1.96
879,1.34,11.42,-0.42
880,0.3,13.5,3.58
881,0.96,13.51,2.43
882,0.17,4.46,-2.11
883,-0.48,54.75,-1.07
884,0.94,12.78,-0.4
885,0.1,7.95,-2.24
886,0.74,10.6,-2.15
887,2.52,62.5,-0.13
888,1.39,11.5,-0.15
889,0.31,12.75,-2.01
890,0.95,12.8,-1.66
891,-0.54,68.65,0.23
892,1.48,18.54,-0.14
893,0.49,16.72,-1.83
894,0.69,21.25,-1.52
895,0.94,12.78,-1.07
896,-0.45,48.31,1.29
897,2.07,24.86,0.37
898,-0.37,29.69,-1.96
899,1.18,32.35,1.8
900,0.73,22.28,-1.08
901,0.94,12.77,-0.7
902,1.17,15.16,1.2
903,1.71,13.71,-0.51
904,0.36,13.81,3.66
905,0.55,17.96,-0.45
906,0.18,4.47,-2.11
907,0.98,12.67,-0.39
908,0.13,7.96,-2.24
909,0.78,10.6,-2.15
910,2.74,62.52,-0.13
911,1.44,11.49,-0.15
912,0.36,12.73,-2.01
913,0.98,12.67,-1.64
914,-0.32,79.25,0.28
915,2.11,49.33,1.03
916,1.44,11.49,0.1
