-159.508,751.063,-12.5664
422,-6.27469,15.7488,-0.183574
423,-6.18732,11.6747,-1.99666
424,-6.67488,14.5851,-1.98989
425,-9.01633,15.7302,0.0799544
426,-7.16524,15.7892,-0.0887691
427,-7.94505,15.5057,-1.83442
428,-6.21679,15.6032,-1.52374
429,-8.0382,15.6684,0.385613
430,-6.26693,15.7175,0.186378
431,-7.97876,15.5736,-1.20438
432,-7.08779,15.6034,-1.35895
433,-8.97886,15.6388,0.489884
434,-7.13754,15.688,0.281068
435,-8.90925,15.5441,-1.13005
436,-6.26004,15.7314,-0.963562
438,-7.16987,15.7667,0.681146
439,-8.05104,15.7123,-0.804346
440,-7.15048,15.7519,-0.888824
443,-8.97156,15.6429,-0.730087
444,-6.28235,15.7501,-0.573624
445,-9.68677,19.1922,5.6576
446,-10.0567,22.9263,4.50779
447,-8.04346,15.681,-0.404395
448,-2.26522,3.59082,-1.82009
449,-8.90407,15.6414,-0.309678
450,-7.09288,15.7505,-0.488474
451,-3.47349,5.78178,-1.80003
452,-4.57904,9.43347,-2.02449
453,-8.0158,15.7496,-0.00399181
454,-6.22468,15.7587,-0.183241
455,-6.1573,11.6947,-1.99641
456,-6.62487,14.6051,-1.98952
457,-8.94635,15.7101,0.0803067
458,-7.12522,15.8092,-0.088463
459,-7.88511,15.5056,-1.82406
460,-6.15678,15.6132,-1.52335
461,-7.96822,15.6483,0.385965
462,-6.21692,15.7275,0.18671
463,-7.91882,15.5735,-1.19403
464,-7.02779,15.6133,-1.35856
465,-8.89887,15.6387,0.490363
466,-7.07751,15.7179,0.281527
467,-8.84925,15.5441,-1.12969
468,-6.22,15.7713,-0.963189
470,-7.11987,15.7666,0.681445
471,-7.98106,15.6923,-0.803994
472,-7.0905,15.7318,-0.888531
475,-8.91153,15.6728,-0.729628
476,-6.22234,15.77,-0.573198
477,-9.64677,19.2621,5.66807
478,-10.0067,23.0063,4.51836
479,-7.97346,15.6809,-0.403976
480,-2.22544,3.54069,-1.79002
481,-8.83407,15.6513,-0.309226
482,-7.02289,15.7404,-0.488089
483,-3.43363,5.75168,-1.77989
484,-4.53903,9.44344,-2.02422
485,-7.9458,15.7496,-0.00357286
486,-6.15468,15.7587,-0.182822
487,-6.10729,11.7147,-1.99605
488,-6.57486,14.6151,-1.98919
489,-8.89632,15.7501,0.0807393
490,-7.04524,15.7891,-0.0880509
491,-7.81511,15.5055,-1.82365
492,-6.09679,15.6131,-1.52299
493,-7.89822,15.6482,0.386384
494,-6.14693,15.7174,0.187096
495,-7.85881,15.5835,-1.19363
496,-6.96779,15.6133,-1.3582
497,-8.8189,15.5987,0.490708
498,-7.01752,15.7079,0.281853
499,-8.77924,15.554,-1.12924
500,-6.15003,15.7413,-0.96287
502,-7.04985,15.7865,0.681931
503,-7.92103,15.7222,-0.803534
504,-7.03047,15.7718,-0.888039
507,-8.83162,15.6427,-0.71925
508,-6.15236,15.75,-0.572846
509,-9.59682,19.342,5.68864
510,-9.94668,23.0962,4.52902
511,-7.91345,15.6909,-0.403584
512,-2.21544,3.54068,-1.78996
513,-8.77406,15.6613,-0.308834
514,-6.9529,15.7304,-0.487703
515,-3.43352,5.81171,-1.78969
516,-4.50903,9.44341,-2.02404
517,-7.88577,15.7795,-0.00311371
518,-6.09468,15.7686,-0.18243
519,-6.06727,11.7346,-1.99574
520,-6.52485,14.625,-1.98886
521,-8.82632,15.75,0.0811583
522,-6.98524,15.7891,-0.0876918
523,-7.7551,15.5155,-1.82325
524,-6.04677,15.6331,-1.52263
525,-7.83821,15.6582,0.386776
526,-6.08693,15.7274,0.187488
527,-7.79881,15.5934,-1.19324
528,-6.91779,15.6132,-1.3579
529,-8.76888,15.6286,0.491108
530,-6.95752,15.7178,0.282246
531,-8.70924,15.554,-1.12882
532,-6.09001,15.7712,-0.962411
534,-6.98984,15.7965,0.682323
535,-7.86102,15.7422,-0.803109
536,-6.97053,15.7717,-0.87768
539,-8.77161,15.6627,-0.718824
540,-6.10232,15.7899,-0.572414
541,-9.55681,19.4319,5.69918
542,-9.88666,23.1861,4.53968
543,-7.86344,15.7108,-0.403218
544,-2.20552,3.52064,-1.77997
545,-8.70406,15.6612,-0.308415
546,-6.91286,15.7803,-0.487297
547,-3.42342,5.86174,-1.79946
548,-4.47901,9.47339,-2.02376
549,-7.82577,15.7895,-0.00272126
550,-6.03468,15.7686,-0.18207
551,-6.02726,11.7546,-1.99544
552,-6.45484,14.6349,-1.9884
553,-8.74634,15.73,0.0815704
554,-6.92522,15.819,-0.0872326
555,-7.6851,15.5154,-1.82283
556,-5.98677,15.633,-1.52227
557,-7.77815,15.6582,0.377135
558,-6.02693,15.7273,0.187847
559,-7.72881,15.5934,-1.19282
560,-6.84778,15.6232,-1.35745
561,-8.67877,15.6086,0.47158
562,-6.90752,15.7178,0.282545
