-156.489,751.847,-12.5651
364,-7.33514,15.5867,-1.53779
365,-9.21916,15.5968,0.437928
366,-7.38972,15.7249,0.202528
367,-9.19412,15.5484,-1.18221
368,-8.24465,15.5675,-1.36506
369,-10.2188,15.5878,0.560942
370,-8.2894,15.6858,0.325209
371,-10.174,15.5095,-1.11928
372,-7.36331,15.6561,-0.95763
374,-8.33808,15.7554,0.735431
375,-9.2528,15.6681,-0.791902
376,-8.32297,15.7371,-0.874642
379,-10.2526,15.6392,-0.698908
380,-7.402,15.7457,-0.557417
381,-11.8757,20.5937,6.31123
382,-12.236,23.9856,4.89588
383,-9.25153,15.6677,-0.371904
384,-2.44946,3.42162,-1.77536
385,-10.1611,15.6389,-0.269724
386,-8.24157,15.7369,-0.46536
387,-3.78695,5.56312,-1.74916
388,-5.07372,8.99483,-1.97178
389,-9.21006,15.7475,0.0375474
390,-7.32063,15.7455,-0.158101
391,-6.71123,11.0466,-1.91477
392,-7.2981,13.7373,-1.89025
393,-10.2098,15.7085,0.130495
394,-8.27029,15.8065,-0.0652002
395,-9.046,15.4392,-1.83327
396,-7.2749,15.5969,-1.5284
397,-9.14899,15.637,0.437253
398,-7.30955,15.7251,0.211847
399,-9.11392,15.5586,-1.18294
400,-8.16442,15.5677,-1.35577
401,-10.1287,15.578,0.55012
402,-8.20927,15.6761,0.324485
403,-10.0938,15.5197,-1.13005
404,-7.28311,15.6463,-0.948319
406,-8.24796,15.7557,0.734685
407,-9.1726,15.6683,-0.78265
408,-8.24279,15.7373,-0.875358
411,-10.1824,15.6694,-0.699632
412,-7.32183,15.7459,-0.558099
413,-11.8157,20.674,6.33044
414,-12.156,24.0759,4.90496
415,-9.18135,15.6879,-0.372602
416,-2.43944,3.44161,-1.77537
417,-10.0911,15.6388,-0.269934
418,-8.17157,15.7368,-0.465569
419,-3.77696,5.58312,-1.75917
420,-5.03367,9.01477,-1.96188
421,-9.14004,15.7574,0.0373484
422,-7.25064,15.7355,-0.15832
423,-6.6712,11.0666,-1.91487
424,-7.24807,13.7572,-1.89038
425,-10.1099,15.6784,0.130165
426,-8.19033,15.7764,-0.0654701
427,-8.98599,15.4492,-1.83344
428,-7.1949,15.5968,-1.52864
429,-9.06901,15.6169,0.436993
430,-7.23961,15.6951,0.201607
431,-9.04391,15.5686,-1.18314
432,-8.10441,15.5777,-1.35594
433,-10.0587,15.5979,0.549931
434,-8.15925,15.696,0.324356
435,-10.0238,15.5296,-1.12025
436,-7.22311,15.6462,-0.948499
438,-8.17797,15.7456,0.734465
439,-9.11257,15.6882,-0.782809
440,-8.18278,15.7473,-0.875527
443,-10.0924,15.6393,-0.699932
444,-7.27179,15.7759,-0.558218
445,-11.7555,20.7439,6.34033
446,-12.0959,24.1658,4.91487
447,-9.11135,15.6878,-0.372811
448,-2.42945,3.46161,-1.78538
449,-10.0111,15.6187,-0.270193
450,-8.11157,15.7368,-0.465748
451,-3.77693,5.63313,-1.76912
452,-5.00366,9.02474,-1.96196
453,-9.07007,15.7373,0.0371187
454,-7.19063,15.7454,-0.158489
455,-6.63119,11.0765,-1.91498
456,-7.19806,13.7672,-1.89051
457,-10.0698,15.7284,0.130097
458,-8.11036,15.7463,-0.06574
459,-8.92596,15.4691,-1.8336
460,-7.1349,15.5967,-1.52882
461,-9.00899,15.6368,0.436835
462,-7.17955,15.725,0.211458
463,-8.97392,15.5585,-1.18336
464,-8.0444,15.5876,-1.35611
465,-10.0087,15.6079,0.549792
466,-8.07926,15.6859,0.324107
467,-9.95374,15.5295,-1.11046
468,-7.1631,15.6562,-0.948668
470,-8.11798,15.7655,0.724306
471,-9.05255,15.7082,-0.782968
472,-8.11278,15.7472,-0.875736
475,-10.0324,15.6692,-0.70008
476,-7.20182,15.7558,-0.558447
477,-11.7154,20.8239,6.3503
478,-12.0358,24.2657,4.92479
479,-9.03136,15.6777,-0.37306
480,-2.41944,3.4716,-1.7854
481,-9.94114,15.6086,-0.270413
482,-8.04158,15.7267,-0.465968
483,-3.74692,5.59308,-1.74925
484,-4.97365,9.0347,-1.96204
485,-9.02003,15.7673,0.037
486,-7.13065,15.7353,-0.158679
487,-6.59117,11.0965,-1.91508
488,-7.14806,13.7671,-1.89066
489,-9.96986,15.6783,0.129747
490,-8.05035,15.7563,-0.0659091
491,-8.86596,15.469,-1.83378
492,-7.08489,15.6067,-1.52896
493,-8.93904,15.6168,0.426605
494,-7.11957,15.7049,0.211258
495,-8.9039,15.5484,-1.17358
496,-7.97441,15.5775,-1.35633
497,-9.93868,15.6178,0.549593
498,-8.02925,15.6958,0.323968
499,-9.88374,15.5294,-1.11067
500,-7.1031,15.6561,-0.948847
502,-8.05798,15.7655,0.724127
503,-8.99255,15.7081,-0.783147
504,-8.06276,15.7671,-0.875865
507,-9.94237,15.6291,-0.69039
508,-7.13184,15.7357,-0.558677
509,-11.6853,20.9138,6.3603
510,-11.9857,24.3456,4.93473
511,-8.97135,15.6876,-0.37323
512,-2.39942,3.46157,-1.77547
514,-7.99156,15.7466,-0.466097
515,-3.70694,5.57303,-1.74939
516,-4.94362,9.05467,-1.96211
517,-8.94003,15.7672,0.0367609
518,-7.06063,15.7452,-0.158878
519,-6.55115,11.1165,-1.91518
520,-7.08805,13.777,-1.89083
522,-8.0003,15.7962,-0.0660175
523,-8.79595,15.4789,-1.83398
524,-7.01489,15.6066,-1.52916
525,-8.87898,15.6467,0.436456
526,-7.04957,15.7048,0.211049
527,-8.84389,15.5583,-1.17375
528,-7.9044,15.5874,-1.35653
530,-7.95928,15.6758,0.323738
531,-9.80374,15.5293,-1.11091
532,-7.0431,15.656,-0.949026
534,-7.98797,15.7754,0.723928
535,-8.90258,15.688,-0.783437
536,-7.97275,15.747,-0.866154
540,-7.07182,15.7557,-0.558836
541,-11.6151,21.0037,6.38018
542,-11.9155,24.4355,4.94461
543,-8.90135,15.6876,-0.373439
544,-2.37942,3.43153,-1.76556
545,-9.81107,15.6685,-0.27074
546,-7.90158,15.7265,-0.466386
547,-3.6769,5.58299,-1.73947
548,-4.90361,9.06462,-1.96222
549,-8.85007,15.7371,0.0364611
550,-7.00062,15.7552,-0.159047
551,-6.51112,11.1364,-1.91528
552,-7.03804,13.787,-1.89097
554,-7.94029,15.8061,-0.0661865
555,-8.73591,15.4889,-1.82415
556,-6.95486,15.6065,-1.51934
557,-8.80901,15.6466,0.426247
558,-6.98957,15.7048,0.21087
559,-8.77388,15.5682,-1.17395
560,-7.84437,15.5874,-1.34671
562,-7.87928,15.6757,0.323499
563,-9.73373,15.5393,-1.11111
564,-6.9631,15.6559,-0.949265
566,-7.92796,15.7853,0.723759
567,-8.84256,15.6979,-0.783606
568,-7.91276,15.7369,-0.866344
572,-7.00183,15.7456,-0.559055
573,-11.565,21.0737,6.3901
574,-11.8454,24.5055,4.95447
575,-8.82136,15.6775,-0.373688
576,-2.35939,3.4315,-1.75562
578,-7.84158,15.7264,-0.466566
579,-3.66691,5.60299,-1.74948
580,-4.8736,9.07459,-1.9623
581,-8.79007,15.737,0.0362817
582,-6.93065,15.7351,-0.159277
583,-6.47111,11.1464,-1.91539
584,-6.97799,13.8069,-1.88113
585,-9.71991,15.638,0.128958
586,-7.86032,15.7861,-0.0664462
587,-8.66592,15.4788,-1.82436
588,-6.88486,15.6064,-1.51955
589,-8.749,15.6566,0.426078
590,-6.93954,15.7347,0.210751
591,-8.70387,15.5782,-1.17415
592,-7.77438,15.5773,-1.34692
593,-9.68871,15.5875,0.548815
594,-7.81925,15.6956,0.32334
595,-9.6637,15.5392,-1.10132
596,-6.90309,15.6659,-0.949435
598,-7.85796,15.7852,0.72355
599,-8.77254,15.7178,-0.783794
600,-7.86272,15.7769,-0.866452
603,-9.73234,15.6588,-0.690987
604,-6.95178,15.7855,-0.559164
605,-11.5149,21.1536,6.41004
606,-11.7953,24.6154,4.96444
607,-8.77133,15.7074,-0.373807
608,-2.34939,3.43149,-1.75565
609,-9.66109,15.6483,-0.271209
610,-7.77158,15.7264,-0.466775
611,-3.66688,5.63299,-1.74945
612,-4.84358,9.09455,-1.96237
613,-8.73005,15.7569,0.0361229
615,-6.4311,11.1563,-1.9155
616,-6.92799,13.8069,-1.88128
617,-9.70978,15.748,0.129041
618,-7.80032,15.786,-0.0666255
619,-8.60589,15.5087,-1.82451
620,-6.82486,15.6064,-1.51973
